genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Gprin3,4.315675314755057e-6,-1.4041905703434816,0.021,0.06,0.06848113589453325,IL18,p129
Pcgf5,5.502964700185936e-8,0.3895613193306101,0.796,0.742,8.732104386255043e-4,IL1F9,p129
Gadd45b,4.2545344080345503e-7,0.6433927889585142,0.504,0.419,0.006751095198669225,IL1F9,p129
Rap1b,1.0974403330257095e-6,0.19348359708818474,0.992,0.985,0.01741418320445196,IL1F9,p129
Ctla2a,2.0529649271077723e-6,-2.3485913787810038,0.01,0.052,0.03257644746334613,IL1F9,p129
Nfkbia,3.12748039266018e-6,0.25506212741081935,0.934,0.941,0.04962685887073174,IL1F9,p129
Ubc,3.4918007231990154e-6,0.19577782855555093,0.948,0.952,0.055407893875721974,IL1F9,p129
p139-T7oBC5p-MS2,8.192426020695103e-75,0.521756205781269,0.598,0.353,1.2999741609638989e-70,IL2,p129
Plk1,1.5501219122556674e-20,-0.5445472784137887,0.414,0.542,2.459733450367293e-16,IL2,p129
Cenpa,5.106998103301463e-20,-0.4257679350270433,0.556,0.677,8.103784590318761e-16,IL2,p129
Ube2c,1.744635461008531e-18,-0.4156511401532834,0.669,0.761,2.768387549528337e-14,IL2,p129
Hmgb2,1.759072666965184e-18,-0.17917600204802397,0.974,0.989,2.791296507940354e-14,IL2,p129
Cks2,5.3446794916467546e-17,-0.20112402713437771,0.868,0.929,8.48093741734507e-13,IL2,p129
Tpx2,6.017796785770368e-16,-0.3093207283734576,0.708,0.792,9.549039939660419e-12,IL2,p129
Hmmr,3.520896470900137e-15,-0.389589609498317,0.49,0.605,5.5869585200243375e-11,IL2,p129
H4c4,4.367837023718701e-15,-0.18665331138824715,0.732,0.826,6.930883789236834e-11,IL2,p129
Cenpe,2.056828434878188e-13,-0.2759210373077241,0.661,0.756,3.2637753604647085e-9,IL2,p129
Cdc20,8.816747955332498e-13,-0.43154150156476684,0.451,0.551,1.3990415655521608e-8,IL2,p129
Cenpf,9.811720441784886e-13,-0.3322257560212179,0.564,0.661,1.5569237997024256e-8,IL2,p129
Aspm,9.940430206390866e-13,-0.49659712346742324,0.337,0.441,1.5773474651501027e-8,IL2,p129
Ccnb1,1.2409257809712085e-12,-0.42129259678750985,0.444,0.543,1.9691010292451136e-8,IL2,p129
Hmgn2,1.5823913516529664e-12,-0.11807154728912161,0.973,0.988,2.510938596802927e-8,IL2,p129
Tnfsf11,7.762895526093052e-12,-0.3622664768471956,0.64,0.722,1.2318162620804454e-7,IL2,p129
H1f2,2.1954044656264316e-11,-0.23898151502158874,0.53,0.632,3.4836678060560215e-7,IL2,p129
H1f5,4.308450004276256e-11,-0.20562468462754202,0.769,0.838,6.836648466785563e-7,IL2,p129
Cks1b,4.632565690690576e-11,-0.17319727357473558,0.834,0.891,7.350955237987807e-7,IL2,p129
Mki67,6.997438163145653e-11,-0.1709106085293386,0.826,0.883,1.1103534877279521e-6,IL2,p129
Nusap1,9.319649670561631e-11,-0.1854135060425273,0.552,0.649,1.4788420097247197e-6,IL2,p129
Cdca8,1.0212822668164251e-10,-0.19541503921250925,0.779,0.845,1.6205707009843033e-6,IL2,p129
Aopep,1.388420239065107e-10,0.19426335416718366,0.456,0.47,2.2031452353485117e-6,IL2,p129
Kif22,1.8834108624101697e-10,-0.1697177097539283,0.458,0.553,2.988596356472457e-6,IL2,p129
Aurka,2.1380016109216905e-10,-0.3786596477784052,0.322,0.418,3.3925809562105384e-6,IL2,p129
Top2a,4.4163899142504234e-10,-0.1497755897918771,0.895,0.939,7.007927515932572e-6,IL2,p129
H2ac4,4.97090955441413e-10,-0.19274744241564445,0.565,0.652,7.887839280944343e-6,IL2,p129
Tacc3,5.257962007866019e-10,-0.1766016043195986,0.642,0.731,8.343334114081799e-6,IL2,p129
Iqgap2,8.630244957238202e-10,0.10273462886132778,0.354,0.392,1.369447269814558e-5,IL2,p129
Mcm6,1.1028730767151459e-9,0.1659323396704908,0.917,0.91,1.7500389981315936e-5,IL2,p129
Mgat2,1.4602012147568436e-9,0.10615432804723157,0.556,0.596,2.3170472875761592e-5,IL2,p129
Gmnn,1.8336220872930177e-9,0.10245006390285605,0.802,0.838,2.9095915281165605e-5,IL2,p129
H1f4,1.879721879839728e-9,-0.2027183547057012,0.848,0.892,2.9827426789296803e-5,IL2,p129
Slc43a3,2.339375552788233e-9,-0.12890710593518206,0.384,0.464,3.7121211271643686e-5,IL2,p129
Arl6ip1,3.3974022005751637e-9,-0.22876627752574308,0.877,0.908,5.3909978118726694e-5,IL2,p129
Syce2,7.533710810110086e-9,0.21851422560685696,0.455,0.461,1.1954492313482685e-4,IL2,p129
Izumo1r,9.320434420118122e-9,0.3132232105912231,0.515,0.501,1.4789665337843437e-4,IL2,p129
Zswim7,9.677660082298032e-9,0.13075661592242493,0.255,0.277,1.5356511018590517e-4,IL2,p129
Zbtb11,1.0114969933567744e-8,0.15233197642078355,0.41,0.429,1.6050434290585297e-4,IL2,p129
Ube2s,1.0341326892597835e-8,-0.18008246316706122,0.886,0.914,1.6409617513174244e-4,IL2,p129
Kdm5b,1.0355839978114783e-8,0.25003874248237357,0.373,0.374,1.6432646877272537e-4,IL2,p129
Smc4,1.0733202006337852e-8,-0.11466849993354522,0.957,0.98,1.7031444943656904e-4,IL2,p129
Armh3,1.1514050462328657e-8,-0.30069290624220146,0.147,0.204,1.8270495273623114e-4,IL2,p129
Arhgap19,1.2706068582261244e-8,-0.3170271608420592,0.146,0.206,2.0161989626332142e-4,IL2,p129
Birc5,1.3327757515388689e-8,-0.15090684849014613,0.777,0.838,2.114848562541877e-4,IL2,p129
Racgap1,1.3652500291067585e-8,-0.2407319371856187,0.466,0.556,2.1663787461866045e-4,IL2,p129
Htra2,1.4100301787935322e-8,-0.24888237591566287,0.398,0.489,2.2374358877095768e-4,IL2,p129
Ccnb2,1.411206460806107e-8,-0.3125033428117536,0.364,0.453,2.2393024120071305e-4,IL2,p129
D17H6S56E-5,1.501354631314198e-8,-0.12311904346095126,0.793,0.86,2.3823495289693696e-4,IL2,p129
Degs1,1.79603461361991e-8,0.10712729121451581,0.458,0.493,2.849947724892073e-4,IL2,p129
Ccnk,1.9970637500468617e-8,-0.1278342062267167,0.461,0.541,3.16894075857436e-4,IL2,p129
Hectd2,2.0756737440502592e-8,0.24042642273089854,0.19,0.201,3.2936790970589515e-4,IL2,p129
Kif11,2.1377866522947327e-8,-0.1788498454374382,0.738,0.808,3.392239859861282e-4,IL2,p129
Kdm6b,2.9351332086605932e-8,0.11620150608978874,0.219,0.251,4.657469375502629e-4,IL2,p129
Plcl2,3.515799175897676e-8,0.19106868343204986,0.38,0.391,5.578870132314433e-4,IL2,p129
Mterf3,3.538074142243527e-8,0.13199922885375615,0.379,0.4,5.614216048912028e-4,IL2,p129
Trim8,3.801085176363924e-8,0.22396327255862247,0.36,0.359,6.031561957854275e-4,IL2,p129
Ccna2,4.2653559261640207e-8,-0.13228011241737248,0.728,0.8,6.768266783637068e-4,IL2,p129
Glo1,4.4048114046852564e-8,0.168970974604799,0.7,0.703,6.989554736954565e-4,IL2,p129
Prc1,4.50855108233625e-8,-0.28711144668284344,0.473,0.559,7.154168857451161e-4,IL2,p129
Aim2,4.885777660477703e-8,-0.2576650198267554,0.206,0.273,7.75275199164602e-4,IL2,p129
H2ac20,5.434676643962709e-8,-0.19171090707396043,0.652,0.726,8.623744898640026e-4,IL2,p129
Chchd1,6.086761217197042e-8,-0.11017908156154854,0.837,0.896,9.658472699448266e-4,IL2,p129
Dock10,6.224909006745908e-8,0.19227408163777981,0.822,0.823,9.877685611904407e-4,IL2,p129
Mtfr1l,6.776573597335063e-8,0.19469289721430716,0.316,0.327,0.001075306698425128,IL2,p129
Traf3,6.79527466220775e-8,0.11426420665156722,0.485,0.511,0.001078274183399126,IL2,p129
Malt1,6.856960964146218e-8,0.10991271088540022,0.579,0.614,0.0010880625657907219,IL2,p129
Crim1,7.005130539146463e-8,0.12826865904226015,0.213,0.237,0.0011115741139517607,IL2,p129
Sco1,7.274692695032288e-8,-0.16078257764939075,0.169,0.22,0.0011543482368477234,IL2,p129
Ncapd2,7.530935974220212e-8,-0.10331423859813768,0.617,0.695,0.0011950089203892633,IL2,p129
Sh3bp2,7.620517292072153e-8,0.1495813219897233,0.141,0.157,0.0012092236839060092,IL2,p129
Tubb4b,8.314534901175261e-8,-0.15084951267973512,0.917,0.945,0.0013193503981184904,IL2,p129
Ckap5,8.554198205269923e-8,-0.1899322435937732,0.713,0.784,0.0013573801712122313,IL2,p129
Lig1,9.007807364320408e-8,0.12254297737676523,0.896,0.914,0.0014293588725703625,IL2,p129
Ugp2,1.0045673259521662e-7,0.15378158554876276,0.347,0.362,0.0015940474328208973,IL2,p129
Kif23,1.0236807667508054e-7,-0.25344551302613855,0.493,0.578,0.001624376640680178,IL2,p129
Hcst,1.1171782868717821e-7,0.21471521733937338,0.293,0.301,0.0017727385056081437,IL2,p129
Tbc1d23,1.1759397981904903e-7,0.1538114362914409,0.17,0.188,0.0018659812717686701,IL2,p129
Cript,1.186680235750262e-7,0.13160721914135864,0.473,0.494,0.0018830241980885157,IL2,p129
H2ax,1.6173135084955163e-7,-0.14791254220107974,0.755,0.817,0.0025663530752806853,IL2,p129
Clspn,1.7565503941730248e-7,0.11010861422507773,0.72,0.751,0.002787294165473756,IL2,p129
Aurkb,1.8047546458330193e-7,-0.1507515439181542,0.602,0.682,0.002863784672007835,IL2,p129
Stat5b,1.9044848071083509e-7,0.10435884502937265,0.412,0.446,0.0030220364919195312,IL2,p129
Nck1,2.011866056433037e-7,0.1277165336445465,0.349,0.371,0.003192429058347943,IL2,p129
Mtg2,2.0152855052255568e-7,0.18569436324755362,0.316,0.327,0.0031978550396919137,IL2,p129
Fbxo28,2.0443993753961563e-7,0.105079337197999,0.349,0.376,0.003244052928878621,IL2,p129
Cep55,2.2137046815792536e-7,-0.16114970007379148,0.423,0.502,0.0035127065887299597,IL2,p129
Pnp,2.345096632679237e-7,0.13212550732018546,0.558,0.572,0.003721199336735413,IL2,p129
Ckap2,2.879272387950389e-7,-0.16979133923366652,0.304,0.372,0.004568829425199677,IL2,p129
Rab35,2.99136043573291e-7,0.17078818960623554,0.331,0.341,0.0047466907394209815,IL2,p129
Fundc2,3.078633052635809e-7,0.12060567329033195,0.796,0.81,0.004885174927922502,IL2,p129
Dglucy,3.185360917768946e-7,0.12411747141498308,0.467,0.499,0.0050545307043157635,IL2,p129
Troap,3.261516553983965e-7,-0.2805122858230429,0.145,0.198,0.005175374467861755,IL2,p129
Otulin,3.5324476651381906e-7,0.19366795065002362,0.515,0.514,0.005605287955041281,IL2,p129
Knl1,3.5467728982285774e-7,-0.1735939185040937,0.644,0.72,0.005628019234909107,IL2,p129
Marcksl1,3.6848657892101414e-7,-0.15489745878706462,0.826,0.877,0.005847145034318653,IL2,p129
Parpbp,3.69714775867684e-7,-0.3425894127633393,0.245,0.32,0.005866634063468409,IL2,p129
Itprid2,3.863508725789423e-7,0.16471229497504325,0.095,0.107,0.006130615646082657,IL2,p129
Gm10131,3.8887553787055345e-7,-0.4111737389130754,0.151,0.213,0.006170677034929942,IL2,p129
Spryd7,3.8985722898532365e-7,0.1397982203772612,0.276,0.297,0.006186254509539115,IL2,p129
Ubald2,4.115488062902031e-7,-0.19655776988627569,0.619,0.696,0.006530456458212943,IL2,p129
Ppp2r1b,4.6798411283017215e-7,0.22649875116925977,0.451,0.443,0.007425971902389172,IL2,p129
Gen1,4.7449737945287997e-7,-0.1386451800178805,0.391,0.465,0.0075293244171583,IL2,p129
Ppm1a,4.749444589522073e-7,0.13223181186830169,0.419,0.438,0.007536418674653625,IL2,p129
Tagap,4.934609013179342e-7,0.258875709129643,0.362,0.361,0.00783023758211298,IL2,p129
Ube3c,5.049101732457395e-7,-0.11396960943729428,0.429,0.5,0.008011914629063394,IL2,p129
Adipor2,5.464162263605103e-7,0.1418290897780906,0.505,0.518,0.008670532679888578,IL2,p129
Surf1,5.629249149268592e-7,-0.13584761757318864,0.241,0.297,0.008932492550059403,IL2,p129
Kif20b,6.129481492104185e-7,-0.20099658968034712,0.65,0.723,0.00972626123167092,IL2,p129
Ago3,6.18460044858656e-7,0.10581739336266716,0.349,0.377,0.009813723991817154,IL2,p129
Yif1b,6.49650992562143e-7,-0.17107577049767464,0.406,0.482,0.010308661949976086,IL2,p129
Usp48,6.583057834480224e-7,0.10097341047107067,0.406,0.432,0.01044599617175322,IL2,p129
Slc35a3,7.076639141530838e-7,-0.15643357498381438,0.297,0.362,0.011229210989781134,IL2,p129
Kpna2,7.428427247296616e-7,-0.22735718909697464,0.598,0.671,0.01178742835601027,IL2,p129
Ptpn22,7.554277354561626e-7,0.15618866301114281,0.543,0.559,0.01198712730621839,IL2,p129
Pdrg1,7.646527280568426e-7,0.19595972210017576,0.459,0.466,0.012133509488805979,IL2,p129
Pdgfb,8.324337195786748e-7,-0.3235649002347467,0.272,0.346,0.013209058262274411,IL2,p129
Ccdc34,8.678622885795901e-7,-0.12642542945259871,0.631,0.705,0.013771238795180937,IL2,p129
Xpo1,8.756885812337157e-7,-0.11643623856407181,0.801,0.862,0.0138954264070166,IL2,p129
Chd3,8.800954186475275e-7,0.10141558133045608,0.591,0.625,0.013965354103098966,IL2,p129
H2ac8,8.957928801747764e-7,-0.1128061807107213,0.648,0.714,0.014214441422613352,IL2,p129
Dlgap5,9.370009379139191e-7,-0.1017796932340127,0.463,0.533,0.014868330882818068,IL2,p129
Mis18bp1,9.404316966387983e-7,-0.1937519623627032,0.444,0.524,0.014922770162264452,IL2,p129
Rfc1,9.67712130161968e-7,0.10997184725944198,0.856,0.871,0.015355656081410108,IL2,p129
Cad,9.710606287297147e-7,0.11569621180543205,0.612,0.634,0.015408790056683112,IL2,p129
Ergic1,9.863740937881025e-7,-0.15614604839993965,0.715,0.783,0.01565178412022961,IL2,p129
Dhx33,9.947128356166794e-7,0.19810964847429746,0.219,0.226,0.01578410327556547,IL2,p129
Cdk9,1.051391329065514e-6,0.13281445453357546,0.636,0.646,0.016683477609611575,IL2,p129
Cdk1,1.0827175566411347e-6,-0.15457693242667347,0.748,0.81,0.017180562188781525,IL2,p129
Pfkp,1.1365946216365592e-6,0.157881533886307,0.542,0.556,0.01803548345612892,IL2,p129
