genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Btg1,3.8087886992276944e-6,-0.1619137114350654,0.85,0.853,0.060437859079345055,IL18,p129
Rgs2,6.256183563950218e-6,0.18891048943803335,0.38,0.308,0.09927312079276206,IL18,p129
Gadd45b,7.296535706290283e-9,0.6433927889585142,0.504,0.419,1.1578142858741421e-4,IL1F9,p129
Rap1b,1.2155297421460848e-6,0.19348359708818474,0.992,0.985,0.019288025948374074,IL1F9,p129
Cd52,1.8222725897239966e-6,-0.12111360328135268,0.998,0.998,0.02891582145374038,IL1F9,p129
Pcgf5,2.0449042283608227e-6,0.3895613193306101,0.796,0.742,0.03244854029562953,IL1F9,p129
Nfkbia,5.0220019328526346e-6,0.25506212741081935,0.934,0.941,0.07968912667050561,IL1F9,p129
Cenpa,1.8902291250376127e-37,-0.4257679350270433,0.556,0.677,2.9994155756096838e-33,IL2,p129
Ube2c,8.899369730746947e-36,-0.4156511401532834,0.669,0.761,1.4121519888749257e-31,IL2,p129
Hmgb2,2.0672443551614762e-32,-0.17917600204802397,0.974,0.989,3.2803033427702305e-28,IL2,p129
Plk1,7.727132991012698e-31,-0.5445472784137887,0.414,0.542,1.226141463013895e-26,IL2,p129
Tpx2,1.2527397437281536e-30,-0.3093207283734576,0.708,0.792,1.9878474253478343e-26,IL2,p129
Cks2,8.795010759845175e-27,-0.20112402713437771,0.868,0.929,1.3955923073722324e-22,IL2,p129
Hmmr,1.4378287491621148e-26,-0.389589609498317,0.49,0.605,2.2815466591704437e-22,IL2,p129
Cenpe,9.918631406047017e-26,-0.2759210373077241,0.661,0.756,1.5738884315115406e-21,IL2,p129
H4c4,8.72635903169464e-25,-0.18665331138824715,0.732,0.826,1.3846986511493054e-20,IL2,p129
Mki67,2.585024093481198e-22,-0.1709106085293386,0.826,0.883,4.101916231535965e-18,IL2,p129
Cdc20,5.498815511827305e-22,-0.43154150156476684,0.451,0.551,8.725520454167567e-18,IL2,p129
Hmgn2,8.225679038561496e-22,-0.11807154728912161,0.973,0.988,1.3052507498389382e-17,IL2,p129
Cenpf,1.3192243559519577e-21,-0.3322257560212179,0.564,0.661,2.0933452080245667e-17,IL2,p129
Cdca8,1.9452481038586536e-21,-0.19541503921250925,0.779,0.845,3.0867196912029115e-17,IL2,p129
Aspm,1.1540530251620116e-20,-0.49659712346742324,0.337,0.441,1.83125134032708e-16,IL2,p129
H1f5,2.0720131584680748e-20,-0.20562468462754202,0.769,0.838,3.2878704798571414e-16,IL2,p129
Ccnb1,3.872495241720198e-20,-0.42129259678750985,0.444,0.543,6.14487544956161e-16,IL2,p129
Birc5,9.541093793400873e-20,-0.15090684849014613,0.777,0.838,1.5139807631368504e-15,IL2,p129
Tnfsf11,1.6371588877712382e-19,-0.3622664768471956,0.64,0.722,2.5978437231154008e-15,IL2,p129
Nusap1,2.9476039392140154e-19,-0.1854135060425273,0.552,0.649,4.677257930744799e-15,IL2,p129
Tacc3,4.306127733491366e-19,-0.1766016043195986,0.642,0.731,6.8329634875041e-15,IL2,p129
Arl6ip1,5.261599254631038e-19,-0.22876627752574308,0.877,0.908,8.349105697248531e-15,IL2,p129
Aurka,7.808027814755743e-19,-0.3786596477784052,0.322,0.418,1.2389778536454413e-14,IL2,p129
Top2a,1.8278500683801487e-18,-0.1497755897918771,0.895,0.939,2.90043248850562e-14,IL2,p129
Cks1b,4.289437795473769e-18,-0.17319727357473558,0.834,0.891,6.806479893857777e-14,IL2,p129
Ube2s,6.443221976440625e-18,-0.18008246316706122,0.886,0.914,1.0224104632215984e-13,IL2,p129
Mcm6,1.4536998512931384e-17,0.1659323396704908,0.917,0.91,2.306730924031952e-13,IL2,p129
Ccna2,2.2833542823640158e-17,-0.13228011241737248,0.728,0.8,3.6232265752552203e-13,IL2,p129
Ckap5,5.479415007537096e-17,-0.1899322435937732,0.713,0.784,8.694735733959864e-13,IL2,p129
Kif22,6.687502758952622e-17,-0.1697177097539283,0.458,0.553,1.061172937790602e-12,IL2,p129
H2ac4,9.905164082976029e-17,-0.19274744241564445,0.565,0.652,1.5717514366866364e-12,IL2,p129
Lig1,1.0251237463470978e-16,0.12254297737676523,0.896,0.914,1.6266663607035748e-12,IL2,p129
H1f2,1.581311021755021e-16,-0.23898151502158874,0.53,0.632,2.5092243293208674e-12,IL2,p129
Racgap1,1.8415915843327858e-16,-0.2407319371856187,0.466,0.556,2.9222375260192647e-12,IL2,p129
Syce2,6.282094656937606e-16,0.21851422560685696,0.455,0.461,9.968427801628594e-12,IL2,p129
Kif11,6.483745779496845e-16,-0.1788498454374382,0.738,0.808,1.0288407802905594e-11,IL2,p129
Smc4,8.374729278813391e-16,-0.11466849993354522,0.957,0.98,1.3289020419621088e-11,IL2,p129
Kif23,9.721854902588576e-16,-0.25344551302613855,0.493,0.578,1.542663935942755e-11,IL2,p129
Knl1,1.2798507134471576e-15,-0.1735939185040937,0.644,0.72,2.0308671120979498e-11,IL2,p129
Cdca3,1.389300459491381e-15,-0.17621903288415913,0.577,0.651,2.2045419691209235e-11,IL2,p129
Ccnb2,1.4625394334758927e-15,-0.3125033428117536,0.364,0.453,2.3207575730395465e-11,IL2,p129
Kdm5b,1.752453412111075e-15,0.25003874248237357,0.373,0.374,2.780793074337854e-11,IL2,p129
Gmnn,2.2106486371091234e-15,0.10245006390285605,0.802,0.838,3.507857257364757e-11,IL2,p129
H1f4,3.012362490695466e-15,-0.2027183547057012,0.848,0.892,4.7800168002355654e-11,IL2,p129
Aurkb,3.892972851302834e-15,-0.1507515439181542,0.602,0.682,6.177369320447336e-11,IL2,p129
Dlgap5,5.188751819003524e-15,-0.1017796932340127,0.463,0.533,8.233511386394791e-11,IL2,p129
Izumo1r,1.0675039275279326e-14,0.3132232105912231,0.515,0.501,1.6939152322013233e-10,IL2,p129
Mgat2,3.464571014628211e-14,0.10615432804723157,0.556,0.596,5.497581286012045e-10,IL2,p129
Tubb4b,4.592392604808698e-14,-0.15084951267973512,0.917,0.945,7.287208585310442e-10,IL2,p129
Ckap2l,6.406659221497774e-14,-0.23892266999809408,0.519,0.595,1.016608685267267e-9,IL2,p129
Kif20b,6.561879025556255e-14,-0.20099658968034712,0.65,0.723,1.0412389637752665e-9,IL2,p129
Arhgap19,1.0598042689124638e-13,-0.3170271608420592,0.146,0.206,1.6816974139102975e-9,IL2,p129
p139-T7oBC5p-MS2,1.1201583087470894e-13,0.521756205781269,0.598,0.353,1.7774672043198815e-9,IL2,p129
Troap,1.1917737302683686e-13,-0.2805122858230429,0.145,0.198,1.8911065551898472e-9,IL2,p129
Htra2,1.2832564734093546e-13,-0.24888237591566287,0.398,0.489,2.036271372005964e-9,IL2,p129
Cdk1,1.4934971154568735e-13,-0.15457693242667347,0.748,0.81,2.369881222806967e-9,IL2,p129
Zbtb11,1.5015405756287991e-13,0.15233197642078355,0.41,0.429,2.3826445854077785e-9,IL2,p129
Marcksl1,1.7902022453873173e-13,-0.15489745878706462,0.826,0.877,2.840692922980595e-9,IL2,p129
Slc43a3,2.1932146645806035e-13,-0.12890710593518206,0.384,0.464,3.4801930297565014e-9,IL2,p129
Ccnk,2.1971406043069405e-13,-0.1278342062267167,0.461,0.541,3.4864227109142533e-9,IL2,p129
Ncapd2,2.3535424631891373e-13,-0.10331423859813768,0.617,0.695,3.734601180588523e-9,IL2,p129
Clspn,2.7572220891942273e-13,0.11010861422507773,0.72,0.751,4.3751600111334e-9,IL2,p129
H2ax,2.7591182284816004e-13,-0.14791254220107974,0.755,0.817,4.378168804954604e-9,IL2,p129
Glo1,2.820335633081033e-13,0.168970974604799,0.7,0.703,4.475308582572983e-9,IL2,p129
Kpna2,2.9314532107661036e-13,-0.22735718909697464,0.598,0.671,4.651629954843653e-9,IL2,p129
Ckap2,2.9630978376545226e-13,-0.16979133923366652,0.304,0.372,4.7018436487901965e-9,IL2,p129
Ugp2,3.737584244399522e-13,0.15378158554876276,0.347,0.362,5.930798679013161e-9,IL2,p129
Tbc1d23,4.290326108121019e-13,0.1538114362914409,0.17,0.188,6.807889468366433e-9,IL2,p129
Prc1,4.703953438745225e-13,-0.28711144668284344,0.473,0.559,7.464233316600924e-9,IL2,p129
Zswim7,5.189151713133792e-13,0.13075661592242493,0.255,0.277,8.234145938400702e-9,IL2,p129
Stat5b,5.293259463798846e-13,0.10435884502937265,0.412,0.446,8.399344117156007e-9,IL2,p129
Mterf3,5.558561519838472e-13,0.13199922885375615,0.379,0.4,8.820325419679687e-9,IL2,p129
Cdk9,6.574207478044964e-13,0.13281445453357546,0.636,0.646,1.043195242616175e-8,IL2,p129
Ccdc34,6.574686574001579e-13,-0.12642542945259871,0.631,0.705,1.0432712655625707e-8,IL2,p129
Aopep,7.419748705809285e-13,0.19426335416718366,0.456,0.47,1.1773657246378174e-8,IL2,p129
Ep400,7.474471265099209e-13,0.1041375417063416,0.573,0.599,1.1860491003459426e-8,IL2,p129
H2ac20,7.790776777023084e-13,-0.19171090707396043,0.652,0.726,1.236240458978023e-8,IL2,p129
D17H6S56E-5,8.768670145247692e-13,-0.12311904346095126,0.793,0.86,1.3914125786479038e-8,IL2,p129
Fbxo28,9.34279747313865e-13,0.105079337197999,0.349,0.376,1.482515103037641e-8,IL2,p129
Aim2,9.75925903494568e-13,-0.2576650198267554,0.206,0.273,1.5485992236651805e-8,IL2,p129
Ten1,1.1328779002010226e-12,0.11465497857461004,0.523,0.539,1.7976506520389826e-8,IL2,p129
Cep55,1.1527368609315585e-12,-0.16114970007379148,0.423,0.502,1.829162850926197e-8,IL2,p129
Crim1,1.1710194684742963e-12,0.12826865904226015,0.213,0.237,1.8581736925750134e-8,IL2,p129
Shcbp1,1.3603156875228807e-12,-0.1354977773276672,0.515,0.588,2.1585489329613072e-8,IL2,p129
Il27ra,1.5606677447400897e-12,0.21422275078748498,0.392,0.384,2.4764675773535742e-8,IL2,p129
Iqgap2,1.6074569932904416e-12,0.10273462886132778,0.354,0.392,2.5507127569532727e-8,IL2,p129
Polr3g,1.62828720549665e-12,-0.17785722311550112,0.307,0.375,2.583766137682084e-8,IL2,p129
Rab35,1.636404874744109e-12,0.17078818960623554,0.331,0.341,2.596647255243952e-8,IL2,p129
Cdc45,1.769091287460151e-12,0.11327537711740066,0.557,0.584,2.8071940549417676e-8,IL2,p129
Mad2l1,1.8985496969301882e-12,-0.10880469474009673,0.657,0.725,3.0126186590888226e-8,IL2,p129
Yif1b,1.9747516388795547e-12,-0.17107577049767464,0.406,0.482,3.1335359005740773e-8,IL2,p129
Mtfr1l,2.1076143615244473e-12,0.19469289721430716,0.316,0.327,3.344362468866993e-8,IL2,p129
Parpbp,2.439643897912469e-12,-0.3425894127633393,0.245,0.32,3.871226937207506e-8,IL2,p129
Ubald2,2.590415246238195e-12,-0.19655776988627569,0.619,0.696,4.1104709127307675e-8,IL2,p129
Pdrg1,2.797748939132286e-12,0.19595972210017576,0.459,0.466,4.439468016615111e-8,IL2,p129
Malt1,2.8809004569629162e-12,0.10991271088540022,0.579,0.614,4.571412845108756e-8,IL2,p129
Ppm1a,2.9024059665475725e-12,0.13223181186830169,0.419,0.438,4.605537787717688e-8,IL2,p129
H2ac8,2.9159868625058607e-12,-0.1128061807107213,0.648,0.714,4.6270879534243e-8,IL2,p129
Cad,3.0064617839468823e-12,0.11569621180543205,0.612,0.634,4.770653558766913e-8,IL2,p129
Pfkp,4.850134908844485e-12,0.157881533886307,0.542,0.556,7.696194073354429e-8,IL2,p129
Tasor2,4.95057252503613e-12,-0.11573208088331194,0.536,0.607,7.855568482727331e-8,IL2,p129
Degs1,5.4739131551759044e-12,0.10712729121451581,0.458,0.493,8.686005394633125e-8,IL2,p129
Otulin,5.6995064165934375e-12,0.19366795065002362,0.515,0.514,9.043976781850466e-8,IL2,p129
Dock10,6.066459810171035e-12,0.19227408163777981,0.822,0.823,9.626258426779399e-8,IL2,p129
Snhg5,6.451608050310381e-12,-0.1998241079115048,0.527,0.606,1.0237411654232512e-7,IL2,p129
Fam53a,6.689813995765921e-12,0.1373756396952901,0.381,0.402,1.0615396848481363e-7,IL2,p129
Ago3,6.919330754614518e-12,0.10581739336266716,0.349,0.377,1.0979594041422317e-7,IL2,p129
Spc25,8.907723458721321e-12,-0.11385398591661433,0.444,0.512,1.4134775584298991e-7,IL2,p129
Trim8,9.179313580323524e-12,0.22396327255862247,0.36,0.359,1.4565734789257368e-7,IL2,p129
Nup35,9.487344761609737e-12,-0.13937501794292761,0.368,0.433,1.505451866772233e-7,IL2,p129
Nck1,9.563935957270608e-12,0.1277165336445465,0.349,0.371,1.5176053576997e-7,IL2,p129
Mtg2,1.0620569795759222e-11,0.18569436324755362,0.316,0.327,1.6852720151910732e-7,IL2,p129
Sco1,1.094515843527742e-11,-0.16078257764939075,0.169,0.22,1.736777740509821e-7,IL2,p129
Mis18bp1,1.2213080404897186e-11,-0.1937519623627032,0.444,0.524,1.9379715986490854e-7,IL2,p129
Bub3,1.2402016353831507e-11,-0.10580863446746303,0.817,0.869,1.9679519550259836e-7,IL2,p129
Armh3,1.3656156636112318e-11,-0.30069290624220146,0.147,0.204,2.1669589350183026e-7,IL2,p129
Traf3,1.3933178329078631e-11,0.11426420665156722,0.485,0.511,2.210916737258197e-7,IL2,p129
