genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Btg1,3.8087886992276944e-6,-0.1619137114350654,0.85,0.853,0.06043785907934505,IL18,p129,3,moderate (1-5)
Rgs2,6.256183563950218e-6,0.18891048943803335,0.38,0.308,0.09927312079276206,IL18,p129,2,moderate (1-5)
Gadd45b,7.296535706290283e-9,0.6433927889585142,0.504,0.419,1.157814285874142e-4,IL1F9,p129,17,very high (10+)
Rap1b,1.2155297421460848e-6,0.19348359708818472,0.992,0.985,0.01928802594837407,IL1F9,p129,9,high (5-10)
Cd52,1.8222725897239969e-6,-0.12111360328135268,0.998,0.998,0.02891582145374038,IL1F9,p129,17,very high (10+)
Pcgf5,2.0449042283608227e-6,0.3895613193306101,0.796,0.742,0.03244854029562953,IL1F9,p129,24,very high (10+)
Nfkbia,5.0220019328526346e-6,0.25506212741081935,0.934,0.941,0.07968912667050561,IL1F9,p129,10,high (5-10)
Cenpa,1.8902291250376127e-37,-0.4257679350270433,0.556,0.677,2.9994155756096838e-33,IL2,p129,9,high (5-10)
Ube2c,8.899369730746947e-36,-0.4156511401532834,0.669,0.761,1.4121519888749255e-31,IL2,p129,5,moderate (1-5)
Hmgb2,2.067244355161476e-32,-0.17917600204802395,0.974,0.989,3.28030334277023e-28,IL2,p129,5,moderate (1-5)
Plk1,7.727132991012698e-31,-0.5445472784137887,0.414,0.542,1.226141463013895e-26,IL2,p129,4,moderate (1-5)
Tpx2,1.2527397437281536e-30,-0.3093207283734576,0.708,0.792,1.9878474253478343e-26,IL2,p129,4,moderate (1-5)
Cks2,8.795010759845174e-27,-0.20112402713437771,0.868,0.929,1.3955923073722324e-22,IL2,p129,2,moderate (1-5)
Hmmr,1.4378287491621148e-26,-0.389589609498317,0.49,0.605,2.2815466591704437e-22,IL2,p129,6,high (5-10)
Cenpe,9.918631406047016e-26,-0.2759210373077241,0.661,0.756,1.5738884315115405e-21,IL2,p129,4,moderate (1-5)
H4c4,8.72635903169464e-25,-0.18665331138824717,0.732,0.826,1.3846986511493054e-20,IL2,p129,3,moderate (1-5)
Mki67,2.585024093481198e-22,-0.1709106085293386,0.826,0.883,4.101916231535965e-18,IL2,p129,4,moderate (1-5)
Cdc20,5.498815511827305e-22,-0.4315415015647669,0.451,0.551,8.725520454167567e-18,IL2,p129,2,moderate (1-5)
Hmgn2,8.225679038561495e-22,-0.1180715472891216,0.973,0.988,1.3052507498389381e-17,IL2,p129,4,moderate (1-5)
Cenpf,1.3192243559519576e-21,-0.3322257560212179,0.564,0.661,2.0933452080245667e-17,IL2,p129,3,moderate (1-5)
Cdca8,1.9452481038586536e-21,-0.19541503921250925,0.779,0.845,3.0867196912029115e-17,IL2,p129,2,moderate (1-5)
Aspm,1.1540530251620116e-20,-0.4965971234674232,0.337,0.441,1.83125134032708e-16,IL2,p129,2,moderate (1-5)
H1f5,2.0720131584680748e-20,-0.205624684627542,0.769,0.838,3.2878704798571414e-16,IL2,p129,4,moderate (1-5)
Ccnb1,3.872495241720198e-20,-0.42129259678750985,0.444,0.543,6.14487544956161e-16,IL2,p129,4,moderate (1-5)
Birc5,9.541093793400873e-20,-0.15090684849014613,0.777,0.838,1.5139807631368504e-15,IL2,p129,4,moderate (1-5)
Tnfsf11,1.6371588877712382e-19,-0.3622664768471956,0.64,0.722,2.5978437231154008e-15,IL2,p129,6,high (5-10)
Nusap1,2.9476039392140154e-19,-0.1854135060425273,0.552,0.649,4.677257930744799e-15,IL2,p129,2,moderate (1-5)
Tacc3,4.3061277334913656e-19,-0.1766016043195986,0.642,0.731,6.8329634875041e-15,IL2,p129,2,moderate (1-5)
Arl6ip1,5.261599254631038e-19,-0.22876627752574308,0.877,0.908,8.349105697248531e-15,IL2,p129,4,moderate (1-5)
Aurka,7.808027814755742e-19,-0.3786596477784052,0.322,0.418,1.2389778536454411e-14,IL2,p129,2,moderate (1-5)
Top2a,1.8278500683801487e-18,-0.1497755897918771,0.895,0.939,2.90043248850562e-14,IL2,p129,3,moderate (1-5)
Cks1b,4.289437795473768e-18,-0.17319727357473558,0.834,0.891,6.806479893857778e-14,IL2,p129,2,moderate (1-5)
Ube2s,6.443221976440624e-18,-0.18008246316706122,0.886,0.914,1.0224104632215985e-13,IL2,p129,2,moderate (1-5)
Mcm6,1.453699851293138e-17,0.1659323396704908,0.917,0.91,2.306730924031952e-13,IL2,p129,1,unique
Ccna2,2.2833542823640158e-17,-0.13228011241737248,0.728,0.8,3.6232265752552203e-13,IL2,p129,2,moderate (1-5)
Ckap5,5.4794150075370955e-17,-0.1899322435937732,0.713,0.784,8.694735733959864e-13,IL2,p129,1,unique
Kif22,6.687502758952622e-17,-0.1697177097539283,0.458,0.553,1.061172937790602e-12,IL2,p129,1,unique
H2ac4,9.905164082976028e-17,-0.19274744241564443,0.565,0.652,1.5717514366866366e-12,IL2,p129,4,moderate (1-5)
Lig1,1.0251237463470978e-16,0.12254297737676524,0.896,0.914,1.6266663607035748e-12,IL2,p129,3,moderate (1-5)
H1f2,1.581311021755021e-16,-0.2389815150215887,0.53,0.632,2.5092243293208674e-12,IL2,p129,1,unique
Racgap1,1.8415915843327856e-16,-0.2407319371856187,0.466,0.556,2.922237526019265e-12,IL2,p129,2,moderate (1-5)
Syce2,6.282094656937607e-16,0.21851422560685696,0.455,0.461,9.968427801628594e-12,IL2,p129,1,unique
