genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Cd52,3.3562955232507217e-10,-0.2314337077781792,0.997,0.997,5.325769736294246e-6,IL1F9,p129,16,very high (8+)
Gadd45b,1.2724904790525572e-8,0.8380596233230451,0.543,0.413,2.0191878921605973e-4,IL1F9,p129,10,very high (8+)
Cenpa,2.780859633849819e-33,-0.47892257021750967,0.553,0.684,4.4126680669928923e-29,IL2,p129,7,high (4-8)
Ube2c,3.540423512496154e-28,-0.4202046503249559,0.666,0.77,5.6179440296288965e-24,IL2,p129,4,moderate (1-4)
Hmgb2,5.5920547120111385e-27,-0.20863102362903785,0.977,0.991,8.873472417019276e-23,IL2,p129,4,moderate (1-4)
Tpx2,1.541958618531593e-24,-0.3216721901467834,0.7,0.794,2.446779935885932e-20,IL2,p129,4,moderate (1-4)
Plk1,3.5975214144562336e-23,-0.5734499055833484,0.412,0.539,5.708546980459152e-19,IL2,p129,4,moderate (1-4)
Cks2,1.9903398613031624e-20,-0.2142931563467456,0.874,0.933,3.158271291915858e-16,IL2,p129,1,unique
Hmmr,5.0052542107948087e-20,-0.3637698436731037,0.484,0.601,7.942337381689202e-16,IL2,p129,2,moderate (1-4)
Cenpe,1.5858687777646213e-19,-0.2580555520697968,0.656,0.751,2.516456576556901e-15,IL2,p129,3,moderate (1-4)
H4c4,3.6279401806814162e-19,-0.19571708340749572,0.737,0.835,5.7568154787052706e-15,IL2,p129,2,moderate (1-4)
Cdca8,1.354283047096325e-18,-0.2456549194750628,0.777,0.845,2.1489763391324483e-14,IL2,p129,2,moderate (1-4)
Cdc20,3.0281500886552754e-18,-0.5061644965337656,0.442,0.549,4.8050685606781917e-14,IL2,p129,2,moderate (1-4)
Mki67,4.218765438816906e-17,-0.18639432308570392,0.837,0.893,6.694336998314666e-13,IL2,p129,3,moderate (1-4)
Birc5,5.624316520822413e-17,-0.19144734328205293,0.78,0.85,8.924665455241004e-13,IL2,p129,2,moderate (1-4)
Arl6ip1,1.334300557550993e-16,-0.23125879571823127,0.865,0.903,2.1172681247219163e-12,IL2,p129,2,moderate (1-4)
Tnfsf11,6.536311841312535e-16,-0.38998771205184846,0.638,0.723,1.0371819629794731e-11,IL2,p129,5,high (4-8)
Hmgn2,1.2853818816072838e-15,-0.13311130779713445,0.975,0.99,2.039643969734438e-11,IL2,p129,4,moderate (1-4)
H2az1,3.397431849959197e-15,-0.11366173916326616,0.995,0.998,5.3910448595152526e-11,IL2,p129,2,moderate (1-4)
Cks1b,3.5138136130710256e-15,-0.2234141219577904,0.828,0.891,5.5757194412211027e-11,IL2,p129,1,unique
H1f5,3.708521065344531e-15,-0.21398614451046427,0.779,0.848,5.884681226488702e-11,IL2,p129,4,moderate (1-4)
Tacc3,4.110946650642516e-15,-0.22638468603613857,0.632,0.726,6.523250145239545e-11,IL2,p129,2,moderate (1-4)
H1f4,8.768861329632225e-15,-0.22055136129247277,0.844,0.9,1.3914429157860415e-10,IL2,p129,3,moderate (1-4)
Ccnb1,9.604770187687561e-15,-0.4400489874904793,0.436,0.533,1.524084933382262e-10,IL2,p129,3,moderate (1-4)
Cenpf,1.9299198318076956e-14,-0.3733969755113195,0.564,0.66,3.0623967891124507e-10,IL2,p129,3,moderate (1-4)
Lig1,2.1174354143206153e-14,0.15282689045148956,0.893,0.902,3.3599465154439524e-10,IL2,p129,1,unique
Izumo1r,4.60744096178683e-14,0.35824411200845974,0.498,0.486,7.31108731816334e-10,IL2,p129,8,high (4-8)
Mcm6,5.692004761841439e-14,0.1850967471800693,0.912,0.896,9.032073156089993e-10,IL2,p129,1,unique
p139-T7oBC5p-MS2,6.68356381458012e-14,1.1919644114996824,0.582,0.311,1.0605479060975732e-9,IL2,p129,7,high (4-8)
Thumpd3,8.517417819447727e-14,-0.1086103390356522,0.494,0.573,1.351543859589965e-9,IL2,p129,1,unique
Smc2,9.341106874042583e-14,-0.11665701117988192,0.897,0.951,1.4822468387730766e-9,IL2,p129,1,unique
Aspm,1.4546534685848057e-13,-0.4425502822131375,0.329,0.423,2.3082441239503702e-9,IL2,p129,2,moderate (1-4)
Nusap1,2.3226679029919453e-13,-0.19033017330624968,0.548,0.643,3.685609428467618e-9,IL2,p129,2,moderate (1-4)
Top2a,4.282149004934682e-13,-0.14470496547699965,0.902,0.944,6.794914041030353e-9,IL2,p129,2,moderate (1-4)
Racgap1,4.510383186746138e-13,-0.21687074113025895,0.456,0.546,7.15707604072877e-9,IL2,p129,2,moderate (1-4)
Ccnk,5.662688114541479e-13,-0.19691973577996125,0.427,0.52,8.985553500154422e-9,IL2,p129,1,unique
Kif23,6.752564961360194e-13,-0.3006690928186886,0.479,0.563,1.0714970080686356e-8,IL2,p129,2,moderate (1-4)
Ccna2,8.250490974878085e-13,-0.14975074490198892,0.722,0.797,1.3091879078936546e-8,IL2,p129,1,unique
Kif11,9.946598042133473e-13,-0.1729824193344417,0.728,0.806,1.5783261773257394e-8,IL2,p129,3,moderate (1-4)
Prc1,1.0331334065843514e-12,-0.33653349878062727,0.445,0.548,1.6393760895680492e-8,IL2,p129,2,moderate (1-4)
Ccnb2,1.101170785957847e-12,-0.3415932290887215,0.345,0.443,1.7473378031579117e-8,IL2,p129,3,moderate (1-4)
Cdca3,1.1246797617241864e-12,-0.19566649348638512,0.564,0.645,1.7846418459039392e-8,IL2,p129,2,moderate (1-4)
Cdc45,1.3043603807867364e-12,0.20626304029660264,0.561,0.564,2.0697590522323932e-8,IL2,p129,1,unique
Ube2s,1.6260237573066797e-12,-0.18087477486866033,0.887,0.916,2.5801744980942394e-8,IL2,p129,2,moderate (1-4)
Troap,2.075716952304069e-12,-0.2694638132013205,0.136,0.189,3.293747659916097e-8,IL2,p129,1,unique
Kif22,2.67719631242498e-12,-0.18854837386993015,0.447,0.537,4.2481751085559585e-8,IL2,p129,1,unique
Aurkb,2.9373019842413215e-12,-0.160314534413328,0.591,0.675,4.6609107885941295e-8,IL2,p129,1,unique
H1f2,3.723415493521145e-12,-0.2132765316016729,0.524,0.626,5.9083157051193534e-8,IL2,p129,1,unique
Aurka,4.306062903471256e-12,-0.37722664004658624,0.319,0.407,6.83286061522819e-8,IL2,p129,2,moderate (1-4)
Ckap5,5.2746713317045656e-12,-0.18691998021349476,0.698,0.764,8.369848469148806e-8,IL2,p129,1,unique
H2ac4,6.587550973543455e-12,-0.2016609653493732,0.584,0.672,1.0453125884818757e-7,IL2,p129,2,moderate (1-4)
Cdk9,6.8879510206979796e-12,0.1837591431313758,0.624,0.621,1.0929800679643557e-7,IL2,p129,1,unique
Tmem241,6.891686738286349e-12,0.2093289209401088,0.133,0.142,1.0935728516312779e-7,IL2,p129,1,unique
Ubald2,1.019871158342604e-11,-0.209101985990657,0.598,0.687,1.618331554058044e-7,IL2,p129,5,high (4-8)
Knl1,1.413040900343252e-11,-0.15382205154564,0.633,0.707,2.2422133006646727e-7,IL2,p129,4,moderate (1-4)
Chd3,1.6849175021098864e-11,0.13803651503712305,0.574,0.608,2.673627092347968e-7,IL2,p129,1,unique
Tsen34,2.3530216077529064e-11,0.1076997707765026,0.312,0.34,3.733774687182312e-7,IL2,p129,1,unique
Mad2l1,2.4863291529064576e-11,-0.11059754186303716,0.645,0.721,3.945307099831967e-7,IL2,p129,2,moderate (1-4)
Dlgap5,2.739717709882921e-11,-0.1224370378707933,0.448,0.511,4.347384062042219e-7,IL2,p129,1,unique
Kif20b,2.768967828630764e-11,-0.20723779259808883,0.634,0.709,4.393798150471297e-7,IL2,p129,2,moderate (1-4)
Trim8,3.0167378403216534e-11,0.23781316021406296,0.346,0.344,4.7869596050224e-7,IL2,p129,1,unique
Ckap2,3.0963215250456993e-11,-0.1426687726910434,0.292,0.361,4.913242995942515e-7,IL2,p129,3,moderate (1-4)
Terf1,3.2862606723705735e-11,-0.1233304017636936,0.377,0.442,5.214638434917627e-7,IL2,p129,1,unique
Smc4,3.4630189828452545e-11,-0.1021564831082693,0.953,0.979,5.49511852197885e-7,IL2,p129,2,moderate (1-4)
2700097O09Rik,3.5073462124565384e-11,0.21514082966658776,0.236,0.241,5.565456969926035e-7,IL2,p129,1,unique
Mtfr1l,3.8179705381596817e-11,0.2063248294774298,0.304,0.311,6.058355649951784e-7,IL2,p129,1,unique
Tti1,4.0568180572010216e-11,0.2206427310324792,0.24,0.245,6.437358893166582e-7,IL2,p129,1,unique
Gmnn,5.1143170978010236e-11,0.10381264806732148,0.799,0.831,8.115398370790665e-7,IL2,p129,1,unique
Clspn,5.191044983268247e-11,0.12216345936233314,0.703,0.734,8.237150179450054e-7,IL2,p129,1,unique
Ung,5.2888684232033766e-11,0.45383253681303537,0.323,0.278,8.392376413939118e-7,IL2,p129,1,unique
Edc3,5.528398973974302e-11,-0.14029928875261488,0.252,0.32,8.772463491902423e-7,IL2,p129,1,unique
Ssbp4,6.024989096736488e-11,0.13911298561855223,0.257,0.281,9.560452698701458e-7,IL2,p129,1,unique
Mgat2,7.164980564407761e-11,0.1217719830782406,0.542,0.572,1.1369391159602234e-6,IL2,p129,1,unique
Zbtb11,7.790357614975863e-11,0.22455413455444684,0.393,0.396,1.23617394634437e-6,IL2,p129,1,unique
Armh3,7.961580578331925e-11,-0.44311134212609504,0.127,0.197,1.26334360616971e-6,IL2,p129,1,unique
Fam53a,8.221781783661292e-11,0.17200561948768844,0.361,0.379,1.3046323334313738e-6,IL2,p129,1,unique
Arhgap19,9.047270985568937e-11,-0.5416229968180413,0.13,0.202,1.4356209599900792e-6,IL2,p129,1,unique
Dglucy,9.962818344278328e-11,0.12056516865960032,0.452,0.482,1.5809000148700852e-6,IL2,p129,1,unique
Crim1,1.0086424636365324e-10,0.136411385260935,0.194,0.219,1.6005138612984497e-6,IL2,p129,1,unique
Mmadhc,1.186466551259719e-10,-0.11103151339172146,0.499,0.569,1.882685123538922e-6,IL2,p129,1,unique
Ckap2l,1.3842927852408439e-10,-0.27341302752985297,0.51,0.582,2.1965957916201716e-6,IL2,p129,1,unique
Zc3h10,1.5507055152150083e-10,0.2181344180757012,0.168,0.178,2.4606595115431753e-6,IL2,p129,1,unique
2310011J03Rik,1.6443576463399994e-10,0.16813364759859706,0.472,0.475,2.609266713212311e-6,IL2,p129,1,unique
D17H6S56E-5,1.7172070721712507e-10,-0.13827140297294394,0.78,0.854,2.7248641821213407e-6,IL2,p129,2,moderate (1-4)
3110040N11Rik,1.7792516272908223e-10,0.134534080122249,0.39,0.405,2.823316482185077e-6,IL2,p129,1,unique
Incenp,1.8327601425275537e-10,-0.10189009347930672,0.667,0.737,2.9082237941627227e-6,IL2,p129,1,unique
Bud13,2.3017883318999686e-10,0.1267218359042217,0.361,0.381,3.6524777250588702e-6,IL2,p129,1,unique
Cdca2,2.74356102315151e-10,-0.1844776937054752,0.416,0.491,4.3534826315368166e-6,IL2,p129,2,moderate (1-4)
Mis18bp1,2.79504015167161e-10,-0.21456393728311496,0.426,0.511,4.435169712672511e-6,IL2,p129,2,moderate (1-4)
Slc35a3,2.8965256557873736e-10,-0.1857475957957535,0.265,0.335,4.596206910603405e-6,IL2,p129,1,unique
Anapc15,3.6565187258806055e-10,-0.14013332882729992,0.626,0.705,5.802163914227345e-6,IL2,p129,1,unique
Iqgap2,3.7018547700721005e-10,0.12883328179919862,0.341,0.372,5.874103149150408e-6,IL2,p129,1,unique
Ttc19,4.1555709827504136e-10,0.17383606629960455,0.179,0.191,6.594060035428357e-6,IL2,p129,1,unique
Dpcd,4.2743807129016566e-10,-0.1236344460259262,0.38,0.445,6.782587315232349e-6,IL2,p129,1,unique
Kdm5b,4.788809327904453e-10,0.23820706946063264,0.348,0.345,7.598882641518788e-6,IL2,p129,1,unique
Kif4,4.78939952535216e-10,-0.11437574593320726,0.533,0.596,7.599819166828808e-6,IL2,p129,1,unique
Tbc1d23,5.213299451778924e-10,0.1006221855403,0.154,0.175,8.272463570082797e-6,IL2,p129,1,unique
Aup1,5.217434969753091e-10,-0.13728605951546974,0.656,0.732,8.279025810004207e-6,IL2,p129,1,unique
Xpo4,5.2526026798628e-10,-0.2027581756621399,0.444,0.527,8.334829932406292e-6,IL2,p129,1,unique
H2ac8,5.992134033556502e-10,-0.13861197689562244,0.662,0.731,9.508318284447456e-6,IL2,p129,1,unique
Exoc5,6.110672332266218e-10,0.11286378950015909,0.46,0.485,9.696414856840034e-6,IL2,p129,1,unique
Nsd2,6.715464098816156e-10,0.13378425678388317,0.754,0.773,1.0656098432001478e-5,IL2,p129,1,unique
C2cd3,6.73625157514012e-10,0.1717980747917358,0.398,0.407,1.0689083999432344e-5,IL2,p129,1,unique
Ndc1,6.926269587386134e-10,-0.17132114774524054,0.314,0.381,1.0990604581264316e-5,IL2,p129,1,unique
Sephs1,7.062548348190558e-10,-0.2661210885492633,0.33,0.406,1.120685171890878e-5,IL2,p129,1,unique
Syce2,7.114217030156032e-10,0.20254132730242017,0.442,0.444,1.1288839583451593e-5,IL2,p129,1,unique
H2ac20,7.248674334851041e-10,-0.21393071216741744,0.658,0.725,1.1502196434541633e-5,IL2,p129,2,moderate (1-4)
