genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Gprin3,4.315675314755057e-6,-1.4041905703434816,0.021,0.06,0.06848113589453325,IL18,p129,4,moderate (1-5)
Pcgf5,5.5029647001859363e-8,0.3895613193306101,0.796,0.742,8.732104386255043e-4,IL1F9,p129,23,very high (10+)
Gadd45b,4.254534408034551e-7,0.6433927889585142,0.504,0.419,0.00675109519866922,IL1F9,p129,16,very high (10+)
Rap1b,1.0974403330257095e-6,0.19348359708818472,0.992,0.985,0.01741418320445196,IL1F9,p129,9,high (5-10)
Ctla2a,2.0529649271077723e-6,-2.348591378781004,0.01,0.052,0.03257644746334613,IL1F9,p129,2,moderate (1-5)
Nfkbia,3.12748039266018e-6,0.25506212741081935,0.934,0.941,0.04962685887073174,IL1F9,p129,9,high (5-10)
Ubc,3.491800723199015e-6,0.19577782855555093,0.948,0.952,0.05540789387572197,IL1F9,p129,5,moderate (1-5)
p139-T7oBC5p-MS2,8.192426020695102e-75,0.521756205781269,0.598,0.353,1.2999741609638987e-70,IL2,p129,22,very high (10+)
Plk1,1.5501219122556674e-20,-0.5445472784137887,0.414,0.542,2.459733450367293e-16,IL2,p129,5,moderate (1-5)
Cenpa,5.106998103301463e-20,-0.4257679350270433,0.556,0.677,8.103784590318761e-16,IL2,p129,6,high (5-10)
Ube2c,1.744635461008531e-18,-0.4156511401532834,0.669,0.761,2.7683875495283374e-14,IL2,p129,4,moderate (1-5)
Hmgb2,1.759072666965184e-18,-0.17917600204802395,0.974,0.989,2.7912965079403543e-14,IL2,p129,5,moderate (1-5)
Cks2,5.344679491646754e-17,-0.20112402713437771,0.868,0.929,8.48093741734507e-13,IL2,p129,2,moderate (1-5)
Tpx2,6.017796785770369e-16,-0.3093207283734576,0.708,0.792,9.54903993966042e-12,IL2,p129,4,moderate (1-5)
Hmmr,3.5208964709001368e-15,-0.389589609498317,0.49,0.605,5.5869585200243375e-11,IL2,p129,5,moderate (1-5)
H4c4,4.367837023718701e-15,-0.18665331138824717,0.732,0.826,6.930883789236834e-11,IL2,p129,3,moderate (1-5)
Cenpe,2.056828434878188e-13,-0.2759210373077241,0.661,0.756,3.263775360464708e-9,IL2,p129,5,moderate (1-5)
