genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Gprin3,4.5409308162107714e-6,-1.4041905703434816,0.021,0.06,0.07205549019163252,IL18,p129
Pcgf5,4.502340212033733e-8,0.3895613193306101,0.796,0.742,7.144313448455128e-4,IL1F9,p129
Gadd45b,3.570523881978258e-7,0.6433927889585142,0.504,0.419,0.005665707295923099,IL1F9,p129
Rap1b,1.1606468059943517e-6,0.19348359708818474,0.992,0.985,0.018417143517518372,IL1F9,p129
Ctla2a,2.2229394424920673e-6,-2.3485913787810038,0.01,0.052,0.035273603073464124,IL1F9,p129
Ubc,2.859273606287705e-6,0.19577782855555093,0.948,0.952,0.045370953584573305,IL1F9,p129
Nfkbia,3.377312950906297e-6,0.25506212741081935,0.934,0.941,0.053591201904981116,IL1F9,p129
Plk1,9.099908756525413e-19,-0.5445472784137887,0.414,0.542,1.4439735214854525e-14,IL2,p129
Cenpa,1.095246397407423e-17,-0.4257679350270433,0.556,0.677,1.7379369834060988e-13,IL2,p129
Ube2c,6.827601862745429e-17,-0.4156511401532834,0.669,0.761,1.0834038635804447e-12,IL2,p129
Hmgb2,6.409268429234444e-16,-0.17917600204802397,0.974,0.989,1.0170227143509215e-11,IL2,p129
Tpx2,9.269397854907519e-15,-0.3093207283734576,0.708,0.792,1.470868051616725e-10,IL2,p129
Cks2,2.461114120236065e-14,-0.20112402713437771,0.868,0.929,3.9052958859905877e-10,IL2,p129
H4c4,1.6747847461047633e-13,-0.18665331138824715,0.732,0.826,2.6575484351190383e-9,IL2,p129
Hmmr,4.576417060606302e-13,-0.389589609498317,0.49,0.605,7.26185859177008e-9,IL2,p129
Cdc20,7.935816372611513e-12,-0.43154150156476684,0.451,0.551,1.259255342005995e-7,IL2,p129
Cenpf,1.313421803273446e-11,-0.3322257560212179,0.564,0.661,2.084137717434304e-7,IL2,p129
Cenpe,1.439127658954209e-11,-0.2759210373077241,0.661,0.756,2.2836077692285388e-7,IL2,p129
Aspm,1.688145116844704e-11,-0.49659712346742324,0.337,0.441,2.678748671409176e-7,IL2,p129
Tnfsf11,2.3119933621933528e-11,-0.3622664768471956,0.64,0.722,3.668671067128412e-7,IL2,p129
Hmgn2,3.8730825659248967e-11,-0.11807154728912161,0.973,0.988,6.145807415609626e-7,IL2,p129
Ccnb1,7.064986827003524e-11,-0.42129259678750985,0.444,0.543,1.1210721097089192e-6,IL2,p129
H1f2,3.021608212571837e-10,-0.23898151502158874,0.53,0.632,4.794687911708991e-6,IL2,p129
Cdca8,3.1298831299329645e-10,-0.19541503921250925,0.779,0.845,4.966498550577628e-6,IL2,p129
Mki67,7.230682048869105e-10,-0.1709106085293386,0.826,0.883,1.1473646275145496e-5,IL2,p129
H1f5,1.2679133922609624e-9,-0.20562468462754202,0.769,0.838,2.011924970839695e-5,IL2,p129
Nusap1,1.8030319297785348e-9,-0.1854135060425273,0.552,0.649,2.861051066172579e-5,IL2,p129
Cks1b,1.8444979566857026e-9,-0.17319727357473558,0.834,0.891,2.9268493576688728e-5,IL2,p129
Aurka,3.0765688133613673e-9,-0.3786596477784052,0.322,0.418,4.881899393041817e-5,IL2,p129
Kif22,9.343937422280245e-9,-0.1697177097539283,0.458,0.553,1.4826959901674292e-4,IL2,p129
Tacc3,1.0426680299161686e-8,-0.1766016043195986,0.642,0.731,1.6545056298709762e-4,IL2,p129
H2ac4,1.2083802469347994e-8,-0.19274744241564445,0.565,0.652,1.9174577758361398e-4,IL2,p129
H1f4,1.4690085840763643e-8,-0.2027183547057012,0.848,0.892,2.3310228212123748e-4,IL2,p129
Gmnn,1.57643187702252e-8,0.10245006390285605,0.802,0.838,2.5014821024593346e-4,IL2,p129
Smc4,1.5887135221542326e-8,-0.11466849993354522,0.957,0.98,2.5209706169543366e-4,IL2,p129
Top2a,2.5649461010339584e-8,-0.1497755897918771,0.895,0.939,4.0700564731206853e-4,IL2,p129
Iqgap2,2.76073659857216e-8,0.10273462886132778,0.354,0.392,4.3807368346143033e-4,IL2,p129
Arl6ip1,4.194833702003806e-8,-0.22876627752574308,0.877,0.908,6.656362118339639e-4,IL2,p129
Aopep,6.905616674815011e-8,0.19426335416718366,0.456,0.47,0.001095783253959646,IL2,p129
Racgap1,7.372099176749182e-8,-0.2407319371856187,0.466,0.556,0.0011698046973665603,IL2,p129
Arhgap19,8.330111773174616e-8,-0.3170271608420592,0.146,0.206,0.001321822136167348,IL2,p129
Armh3,9.776824209299945e-8,-0.30069290624220146,0.147,0.204,0.0015513864655317153,IL2,p129
Mgat2,9.86129373626575e-8,0.10615432804723157,0.556,0.596,0.0015647900900706492,IL2,p129
Slc43a3,1.0500718230423626e-7,-0.12890710593518206,0.384,0.464,0.0016662539688036208,IL2,p129
Kdm6b,1.2248696569667185e-7,0.11620150608978874,0.219,0.251,0.001943623171674789,IL2,p129
Hectd2,1.29144063551971e-7,0.24042642273089854,0.19,0.201,0.002049258000442676,IL2,p129
Syce2,1.3716657756125298e-7,0.21851422560685696,0.455,0.461,0.002176559252741962,IL2,p129
Kif11,1.6947833138226188e-7,-0.1788498454374382,0.738,0.808,0.0026892821623737315,IL2,p129
Mcm6,1.851585405543884e-7,0.1659323396704908,0.917,0.91,0.0029380957215170353,IL2,p129
Zswim7,1.9389772403901403e-7,0.13075661592242493,0.255,0.277,0.0030767690850510747,IL2,p129
Izumo1r,2.4153626584523727e-7,0.3132232105912231,0.515,0.501,0.0038326974664322252,IL2,p129
Glo1,2.439401441451953e-7,0.168970974604799,0.7,0.703,0.0038708422072959593,IL2,p129
Ube2s,2.480693701540065e-7,-0.18008246316706122,0.886,0.914,0.003936364765603775,IL2,p129
Prc1,2.548521249280804e-7,-0.28711144668284344,0.473,0.559,0.00404399351835878,IL2,p129
Ccnk,2.599322749020854e-7,-0.1278342062267167,0.461,0.541,0.004124605338146291,IL2,p129
Tubb4b,2.7804225990152523e-7,-0.15084951267973512,0.917,0.945,0.004411974580117402,IL2,p129
Trim8,2.9615838425437663e-7,0.22396327255862247,0.36,0.359,0.0046994412413484486,IL2,p129
Ckap5,3.179014955519595e-7,-0.1899322435937732,0.713,0.784,0.005044460931418493,IL2,p129
Ugp2,3.4952173767501297e-7,0.15378158554876276,0.347,0.362,0.005546210933427106,IL2,p129
Ccnb2,4.0774036007339033e-7,-0.3125033428117536,0.364,0.453,0.006470024033644558,IL2,p129
Birc5,4.5640998497742604e-7,-0.15090684849014613,0.777,0.838,0.007242313641621797,IL2,p129
Htra2,4.587239591699633e-7,-0.24888237591566287,0.398,0.489,0.0072790317841089774,IL2,p129
Aim2,4.78578002812555e-7,-0.2576650198267554,0.206,0.273,0.007594075748629622,IL2,p129
Pnp,5.124598249863484e-7,0.13212550732018546,0.558,0.572,0.008131712502883377,IL2,p129
Degs1,5.651551671754471e-7,0.10712729121451581,0.458,0.493,0.008967882192739994,IL2,p129
Troap,5.938203104672773e-7,-0.2805122858230429,0.145,0.198,0.009422740686494756,IL2,p129
Sco1,7.63674784656814e-7,-0.16078257764939075,0.169,0.22,0.012117991482934324,IL2,p129
Lig1,7.956430833607097e-7,0.12254297737676523,0.896,0.914,0.012625264446767741,IL2,p129
Tbc1d23,8.572451723891188e-7,0.1538114362914409,0.17,0.188,0.013602766395470537,IL2,p129
Fundc2,8.595628545136846e-7,0.12060567329033195,0.796,0.81,0.013639543375423148,IL2,p129
Stat5b,1.1215996751908204e-6,0.10435884502937265,0.412,0.446,0.01779754364592794,IL2,p129
Kdm5b,1.1930353971791426e-6,0.25003874248237357,0.373,0.374,0.018931085682438634,IL2,p129
Zbtb11,1.2179538616639354e-6,0.15233197642078355,0.41,0.429,0.019326491876883328,IL2,p129
Crim1,1.3213215109004264e-6,0.12826865904226015,0.213,0.237,0.020966729734967965,IL2,p129
D17H6S56E-5,1.3598542870839e-6,-0.12311904346095126,0.793,0.86,0.021578167827447325,IL2,p129
Clspn,1.4663832200943588e-6,0.11010861422507773,0.72,0.751,0.023268568936457287,IL2,p129
Snx8,1.587202728699626e-6,0.6371788906778155,0.081,0.067,0.025185732899005667,IL2,p129
H2ac20,1.7178812729102978e-6,-0.19171090707396043,0.652,0.726,0.027259340038540605,IL2,p129
Aurkb,1.739357697578383e-6,-0.1507515439181542,0.602,0.682,0.02760012794517378,IL2,p129
Sh3bp2,1.7540819711138177e-6,0.1495813219897233,0.141,0.157,0.02783377271763406,IL2,p129
Ccna2,1.9603442155635303e-6,-0.13228011241737248,0.728,0.8,0.031106742012562097,IL2,p129
