oBC_feature_call,gem_group,n
ADIPOQ,lane1,286
ADIPOQ,lane2,390
BMP10,lane1,307
BMP10,lane2,276
BMP4,lane1,196
BMP4,lane2,198
BMP7,lane1,177
BMP7,lane2,240
CCL12,lane1,167
CCL12,lane2,266
CCL19,lane1,239
CCL19,lane2,459
CCL2,lane1,101
CCL2,lane2,112
CCL21A,lane1,157
CCL21A,lane2,241
CCL25,lane1,267
CCL25,lane2,430
CCL3,lane1,258
CCL3,lane2,365
CCL4,lane1,257
CCL4,lane2,385
CCL5,lane1,180
CCL5,lane2,279
CCL7,lane1,146
CCL7,lane2,227
CCL8,lane1,209
CCL8,lane2,410
CTF1,lane1,245
CTF1,lane2,466
CXCL10,lane1,251
CXCL10,lane2,326
CXCL11,lane1,154
CXCL11,lane2,209
CXCL12,lane1,281
CXCL12,lane2,375
CXCL13,lane1,277
CXCL13,lane2,343
CXCL16,lane1,260
CXCL16,lane2,391
CXCL9,lane1,287
CXCL9,lane2,371
GDF10,lane1,220
GDF10,lane2,301
GDF11,lane1,220
GDF11,lane2,305
GDF15,lane1,222
GDF15,lane2,298
GDF2,lane1,248
GDF2,lane2,322
GDF7,lane1,281
GDF7,lane2,297
IFNA,lane1,242
IFNA,lane2,363
IFNA-pool,lane1,139
IFNA-pool,lane2,271
IFNB1,lane1,133
IFNB1,lane2,208
IFNE,lane1,210
IFNE,lane2,181
IFNG,lane1,188
IFNG,lane2,274
IFNG-pool,lane1,299
IFNG-pool,lane2,268
IFNK,lane1,204
IFNK,lane2,223
IL10,lane1,162
IL10,lane2,280
IL11,lane1,207
IL11,lane2,233
IL12,lane1,260
IL12,lane2,147
IL12-pool,lane1,202
IL12-pool,lane2,266
IL13,lane1,301
IL13,lane2,492
IL15,lane1,357
IL15,lane2,474
IL16,lane1,269
IL16,lane2,510
IL17A,lane1,290
IL17A,lane2,596
IL17B,lane1,383
IL17B,lane2,243
IL17C,lane1,190
IL17C,lane2,258
IL17F,lane1,169
IL17F,lane2,265
IL18,lane1,298
IL18,lane2,468
IL1A,lane1,367
IL1A,lane2,691
IL1B,lane1,358
IL1B,lane2,642
IL1F10,lane1,142
IL1F10,lane2,161
IL1F5,lane1,197
IL1F5,lane2,283
IL1F6,lane1,240
IL1F6,lane2,271
IL1F9,lane1,207
IL1F9,lane2,293
IL2,lane1,427
IL2,lane2,1052
IL21,lane1,211
IL21,lane2,202
IL23,lane1,135
IL23,lane2,186
IL25,lane1,198
IL25,lane2,224
IL27,lane1,170
IL27,lane2,191
IL33,lane1,234
IL33,lane2,283
IL35,lane1,119
IL35,lane2,104
IL4,lane1,200
IL4,lane2,329
IL4-pool,lane1,153
IL4-pool,lane2,216
IL6,lane1,250
IL6,lane2,577
IL6-pool,lane1,614
IL6-pool,lane2,1450
IL7,lane1,214
IL7,lane2,392
IL9,lane1,281
IL9,lane2,436
INHBA,lane1,160
INHBA,lane2,193
INHBB,lane1,173
INHBB,lane2,173
LEP,lane1,175
LEP,lane2,291
LIF,lane1,219
LIF,lane2,330
MIF,lane1,527
MIF,lane2,438
MSTN,lane1,150
MSTN,lane2,177
OSM,lane1,602
OSM,lane2,1570
PF4,lane1,156
PF4,lane2,162
TGFB1,lane1,212
TGFB1,lane2,236
TGFB2,lane1,304
TGFB2,lane2,300
TGFB3,lane1,258
TGFB3,lane2,304
TNF,lane1,424
TNF,lane2,878
TNFSF15,lane1,139
TNFSF15,lane2,188
TSLP,lane1,407
TSLP,lane2,844
WNT1,lane1,135
WNT1,lane2,105
WNT3A,lane1,122
WNT3A,lane2,141
WNT5A,lane1,157
WNT5A,lane2,148
WNT7A,lane1,215
WNT7A,lane2,173
p129,lane1,2215
p129,lane2,3642
