oBC_feature_call,row,column,mBaojin_MFI_log10
IL1B,A,1,5.320509778
IL2,B,1,6.173186268
IL4,C,1,4.794160285
IL6,D,1,6.285557309
IL12,E,1,3.763877031
IL23,F,1,3.792531762
IFNG,G,1,4.261857386
TGFB1,H,1,3.77188132
BMP10,A,2,3.828531007
BMP4,B,2,3.638788667
BMP7,C,2,4.025551623
CCL12,D,2,3.854306042
CCL19,E,2,4.882000564
CCL2,F,2,3.759290033
CCL21A,G,2,4.026778329
CCL25,H,2,4.534876085
CCL3,A,3,4.005609445
CCL4,B,3,4.005609445
CCL5,C,3,3.843730965
CCL7,D,3,3.98583049
CCL8,E,3,4.532078851
CTF1,F,3,4.802773725
CXCL10,G,3,4.231367631
CXCL11,H,3,4.116740535
CXCL12,A,4,4.089905111
CXCL13,B,4,3.717420837
CXCL16,C,4,4.2912134
CXCL9,D,4,4.201096565
GDF10,E,4,3.895919545
GDF11,F,4,3.679518744
GDF15,G,4,3.853150436
GDF2,H,4,3.758154622
GDF7,A,5,3.738859802
IFNA,B,5,4.292544028
IFNB1,C,5,3.762753565
IFNE,D,5,3.849603658
IFNK,E,5,3.784474644
IL10,F,5,4.145072038
IL11,G,5,3.737749074
IL13,H,5,5.176343077
IL15,A,6,4.101368963
IL16,B,6,4.613429522
IL17A,C,6,4.6856074
IL17B,D,6,4.009365898
IL17C,E,6,3.912700208
IL17F,F,6,4.105203516
IL18,G,6,4.220813897
IL1A,H,6,5.456400958
IL21,A,7,3.839037873
IL25,B,7,3.767304317
IL27,C,7,3.645324002
IL33,D,7,4.178833117
IL35,E,7,3.716337288
IL7,F,7,4.158030613
IL9,G,7,4.848810852
INHBA,H,7,3.814513952
INHBB,A,8,4.093701785
LIF,B,8,4.976203202
MIF,C,8,4.404936294
MSTN,D,8,4.018076064
OSM,E,8,6.36361198
PF4,F,8,4.098816717
TGFB2,H,8,3.847264102
TGFB3,A,9,3.862608364
TNF,B,9,5.677606953
TNFSF15,C,9,4.311329952
TSLP,D,9,5.615950052
WNT1,E,9,3.898286279
WNT3A,F,9,3.659631012
WNT5A,G,9,3.764997599
WNT7A,H,9,3.638788667
ADIPOQ,A,10,4.136022599
IL1F10,B,10,4.161936705
IL1F5,C,10,4.937006066
IL1F6,D,10,4.197142665
IL1F9,F,10,4.645913275
LEP,G,10,3.911477217
p129,A,11,3.83907448
IL4-pool,A,12,
IL6-pool,B,12,
IL12-pool,C,12,
IFNG-pool,D,12,
IFNA-pool,E,12,
